"response_id","survey_id","survey_title","session_id","session_num","evaluator_token","pattern_id","pattern_title","pattern_link","started_at","completed_at","duration_ms","duration_human","submitted_at","session_duration_ms","session_duration_human","q_q_overall_helpfulness","q_q_reusability","q_q_clarity_documentation","q_q_adoption_threshold","q_q_adoption_justification","q_q_time_saved","q_q_additional_observations"
85,18,evaluation Us all :),261,1,8L1KPXhHIahABWkpPPdxxBV8uuewhwyxf0ZUB-wQiVc,6,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2024-145-01/ontology.ttl,2026-04-21T16:05:22.161000,2026-04-21T16:08:20.179000,178018,2m 58s,2026-04-21T16:39:14.447948,2030277,33m 50s,1,2,2,Maybe,many repetitions,1–25%,
86,18,evaluation Us all :),261,1,8L1KPXhHIahABWkpPPdxxBV8uuewhwyxf0ZUB-wQiVc,6,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2024-145-01/ontology.ttl,2026-04-21T16:08:20.179000,2026-04-21T16:11:49.331000,209152,3m 29s,2026-04-21T16:39:14.447957,2030277,33m 50s,3,4,4,Yes,data properties needed are modeled ,26–50%,owl:hasProperty is useless 
87,18,evaluation Us all :),261,1,8L1KPXhHIahABWkpPPdxxBV8uuewhwyxf0ZUB-wQiVc,3,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-134-02/ontology.ttl,2026-04-21T16:11:49.331000,2026-04-21T16:14:52.463000,183132,3m 3s,2026-04-21T16:39:14.447961,2030277,33m 50s,1,1,2,No,completely different from the scenario ,0%,
88,18,evaluation Us all :),261,1,8L1KPXhHIahABWkpPPdxxBV8uuewhwyxf0ZUB-wQiVc,3,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-134-02/ontology.ttl,2026-04-21T16:14:52.463000,2026-04-21T16:16:40.871000,108408,1m 48s,2026-04-21T16:39:14.447964,2030277,33m 50s,3,4,4,Maybe,,26–50%,
89,18,evaluation Us all :),261,1,8L1KPXhHIahABWkpPPdxxBV8uuewhwyxf0ZUB-wQiVc,8,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2025-149-01/ontology.ttl,2026-04-21T16:16:40.871000,2026-04-21T16:18:14.936000,94065,1m 34s,2026-04-21T16:39:14.447968,2030277,33m 50s,2,2,3,Maybe,,1–25%,
90,18,evaluation Us all :),261,1,8L1KPXhHIahABWkpPPdxxBV8uuewhwyxf0ZUB-wQiVc,8,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2025-149-01/ontology.ttl,2026-04-21T16:18:14.936000,2026-04-21T16:19:31.940000,77004,1m 17s,2026-04-21T16:39:14.447972,2030277,33m 50s,3,3,3,Maybe,no property defined,1–25%,
91,18,evaluation Us all :),261,1,8L1KPXhHIahABWkpPPdxxBV8uuewhwyxf0ZUB-wQiVc,4,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-134-03/ontology.ttl,2026-04-21T16:19:31.940000,2026-04-21T16:20:30.035000,58095,58s,2026-04-21T16:39:14.447976,2030277,33m 50s,1,1,2,No,,0%,
92,18,evaluation Us all :),261,1,8L1KPXhHIahABWkpPPdxxBV8uuewhwyxf0ZUB-wQiVc,4,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-134-03/ontology.ttl,2026-04-21T16:20:30.035000,2026-04-21T16:21:31.085000,61050,1m 1s,2026-04-21T16:39:14.447979,2030277,33m 50s,4,4,4,Yes,,26–50%,
93,18,evaluation Us all :),261,1,8L1KPXhHIahABWkpPPdxxBV8uuewhwyxf0ZUB-wQiVc,1,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-133-02/ontology.ttl,2026-04-21T16:21:31.085000,2026-04-21T16:23:08.305000,97220,1m 37s,2026-04-21T16:39:14.447983,2030277,33m 50s,4,4,4,Yes,,26–50%,
94,18,evaluation Us all :),261,1,8L1KPXhHIahABWkpPPdxxBV8uuewhwyxf0ZUB-wQiVc,1,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-133-02/ontology.ttl,2026-04-21T16:23:08.305000,2026-04-21T16:23:56.154000,47849,47s,2026-04-21T16:39:14.447987,2030277,33m 50s,2,2,2,Maybe,,1–25%,
